test,P,violated,k
AccountBad,0.5,1000,5
AccountBad,0.8,1000,11
Carter01Bad,0.5,1000,5
Carter01Bad,0.8,1000,11
FsbenchBad,0.5,1000,5
FsbenchBad,0.8,1000,11
Phase01Bad,0.5,1000,5
Phase01Bad,0.8,1000,11
StackBad,0.5,287,5
StackBad,0.8,484,11	
StackBad,0.9,744,22
StackBad,0.95,908,45
StackBad,0.99,1000,230
StackBad,0.999,1000,2302
TokenRingBad,0.5,1000,5
TokenRingBad,0.8,1000,11
TwostageBad,0.5,2,5
TwostageBad,0.8,7,11
TwostageBad,0.9,23,22
TwostageBad,0.95,43,45
TwostageBad,0.99,175,230
TwostageBad,0.999,889,2302
Wronglock1Bad,0.5,748,5
Wronglock1Bad,0.8,942,11
Wronglock1Bad,0.9,998,22
Wronglock1Bad,0.95,1000,45
Wronglock1Bad,0.99,1000,230
Wronglock3Bad,0.5,713,5
Wronglock3Bad,0.8,939,11
Wronglock3Bad,0.9,994,22
Wronglock3Bad,0.95,1000,45
Wronglock3Bad,0.99,1000,230
WronglockBad,0.5,818,5
WronglockBad,0.8,960,11
WronglockBad,0.9,999,22
WronglockBad,0.95,1000,45
WronglockBad,0.99,1000,230
