test,P,violated
AccountBad,0.5,1000
AccountBad,0.8,1000
Carter01Bad,0.5,1000
Carter01Bad,0.8,1000
FsbenchBad,0.5,1000
FsbenchBad,0.8,1000
Phase01Bad,0.5,1000
Phase01Bad,0.8,1000
StackBad,0.5,287
StackBad,0.8,484	
StackBad,0.9,744
StackBad,0.95,908
StackBad,0.99,1000
StackBad,0.999,1000
TokenRingBad,0.5,1000
TokenRingBad,0.8,1000
TwostageBad,0.5,2
TwostageBad,0.8,7
TwostageBad,0.9,23
TwostageBad,0.95,43
TwostageBad,0.99,175
TwostageBad,0.999,889
Wronglock1Bad,0.5,748
Wronglock1Bad,0.8,942	
Wronglock1Bad,0.9,998
Wronglock1Bad,0.95,1000
Wronglock1Bad,0.99,1000
Wronglock3Bad,0.5,713
Wronglock3Bad,0.8,939
Wronglock3Bad,0.9,994
Wronglock3Bad,0.95,1000
Wronglock3Bad,0.99,1000
WronglockBad,0.5,818	
WronglockBad,0.8,960
WronglockBad,0.9,999
WronglockBad,0.95,1000
WronglockBad,0.99,1000
