test,time
TwostageBad,0.4123811722
TwostageBad,0.3506426811
TwostageBad,0.3313069344
TwostageBad,0.3568067551
TwostageBad,0.3494954109
TwostageBad,0.3817358017
TwostageBad,0.3418426514
TwostageBad,0.3432199955
TwostageBad,0.3718161583
TwostageBad,0.3408591747
TwostageBad,0.343152523
TwostageBad,0.3465867043
TwostageBad,0.3653900623
TwostageBad,0.3534169197
TwostageBad,0.3559472561
TwostageBad,0.3375344276
TwostageBad,0.3712134361
TwostageBad,0.3500564098
TwostageBad,0.3447828293
TwostageBad,0.3522918224
TwostageBad,0.3408503532
TwostageBad,0.3539278507
TwostageBad,0.3438370228
TwostageBad,0.3477098942
TwostageBad,0.3419229984
TwostageBad,0.3445467949
TwostageBad,0.3587310314
TwostageBad,0.334168911
TwostageBad,0.3384847641
TwostageBad,0.3407912254
TwostageBad,0.354487896
TwostageBad,0.3381545544
TwostageBad,0.3436210155
TwostageBad,0.3518743515
TwostageBad,0.3315181732
TwostageBad,0.3386459351
TwostageBad,0.3297886848
TwostageBad,0.3291580677
TwostageBad,0.3420729637
TwostageBad,0.3592407703
TwostageBad,0.3469662666
TwostageBad,0.3498532772
TwostageBad,0.34714818
TwostageBad,0.3456919193
TwostageBad,0.3475694656
TwostageBad,0.3257875443
TwostageBad,0.3568365574
TwostageBad,0.3472080231
TwostageBad,0.338685751
TwostageBad,0.3468215466
TwostageBad,0.3373856544
TwostageBad,0.337069273
TwostageBad,0.3388724327
TwostageBad,0.3504087925
TwostageBad,0.3462092876
TwostageBad,0.3640964031
TwostageBad,0.3538587093
TwostageBad,0.3357670307
TwostageBad,0.3539149761
TwostageBad,0.3395078182
TwostageBad,0.3295547962
TwostageBad,0.3637173176
TwostageBad,0.3491082191
TwostageBad,0.3346939087
TwostageBad,0.3361873627
TwostageBad,0.3613450527
TwostageBad,0.3362309933
TwostageBad,0.3422029018
TwostageBad,0.3423717022
TwostageBad,0.3672025204
TwostageBad,0.3554770947
TwostageBad,0.3436441422
TwostageBad,0.3494348526
TwostageBad,0.3471522331
TwostageBad,0.3336212635
TwostageBad,0.3448083401
TwostageBad,0.3378105164
TwostageBad,0.3563549519
TwostageBad,0.3512716293
TwostageBad,0.3465697765
TwostageBad,0.3446145058
TwostageBad,0.3337483406
TwostageBad,0.3429777622
TwostageBad,0.3553462029
TwostageBad,0.3452589512
TwostageBad,0.3530626297
TwostageBad,0.3415465355
TwostageBad,0.3340871334
TwostageBad,0.3413915634
TwostageBad,0.3576924801
TwostageBad,0.3510811329
TwostageBad,0.3357665539
TwostageBad,0.3621091843
TwostageBad,0.348487854
TwostageBad,0.3443722725
TwostageBad,0.3569283485
TwostageBad,0.338283062
TwostageBad,0.3436799049
TwostageBad,0.3474562168
TwostageBad,0.35718894
TwostageBad,0.3486597538
TwostageBad,0.3529679775
TwostageBad,0.3532700539
TwostageBad,0.3409724236
TwostageBad,0.3297958374
TwostageBad,0.323816061
TwostageBad,0.333663702
TwostageBad,0.3613331318
TwostageBad,0.3556129932
TwostageBad,0.3272614479
TwostageBad,0.3307719231
TwostageBad,0.3486070633
TwostageBad,0.3385467529
TwostageBad,0.3504831791
TwostageBad,0.3444011211
TwostageBad,0.3398311138
TwostageBad,0.3482801914
TwostageBad,0.3453273773
TwostageBad,0.3449919224
TwostageBad,0.3398833275
TwostageBad,0.3375253677
TwostageBad,0.3526260853
TwostageBad,0.3409264088
TwostageBad,0.3550794125
TwostageBad,0.3406641483
TwostageBad,0.3347609043
TwostageBad,0.3448698521
TwostageBad,0.3576042652
TwostageBad,0.3462831974
TwostageBad,0.33695364
TwostageBad,0.3529140949
TwostageBad,0.3630027771
TwostageBad,0.3512275219
TwostageBad,0.3551433086
TwostageBad,0.3508028984
TwostageBad,0.3391165733
TwostageBad,0.3629572392
TwostageBad,0.3414616585
TwostageBad,0.368461132
TwostageBad,0.3247580528
TwostageBad,0.3976123333
TwostageBad,0.3531877995
TwostageBad,0.3506157398
TwostageBad,0.3490564823
TwostageBad,0.3625044823
TwostageBad,0.3388240337
TwostageBad,0.3376789093
TwostageBad,0.3349432945
TwostageBad,0.3475630283
TwostageBad,0.3307158947
TwostageBad,0.3396391869
TwostageBad,0.336022377
TwostageBad,0.3486704826
TwostageBad,0.3464643955
TwostageBad,0.339869976
TwostageBad,0.3530099392
TwostageBad,0.3370962143
TwostageBad,0.3580014706
TwostageBad,0.3410825729
TwostageBad,0.3332893848
TwostageBad,0.3677415848
TwostageBad,0.3484454155
TwostageBad,0.3500151634
TwostageBad,0.3575594425
TwostageBad,0.3445208073
TwostageBad,0.3375003338
TwostageBad,0.3503577709
TwostageBad,0.3324639797
TwostageBad,0.3396346569
TwostageBad,0.3414578438
TwostageBad,0.3506062031
TwostageBad,0.3528482914
TwostageBad,0.3593404293
TwostageBad,0.3407459259
TwostageBad,0.3401017189
TwostageBad,0.3367974758
TwostageBad,0.3326406479
TwostageBad,0.3400371075
TwostageBad,0.328458786
TwostageBad,0.3419589996
TwostageBad,0.3498702049
TwostageBad,0.3568747044
TwostageBad,0.3476672173
TwostageBad,0.3459606171
TwostageBad,0.3472368717
TwostageBad,0.3557832241
TwostageBad,0.3509335518
TwostageBad,0.3433988094
TwostageBad,0.3450713158
TwostageBad,0.3656055927
TwostageBad,0.3380150795
TwostageBad,0.3400866985
TwostageBad,0.3415002823
TwostageBad,0.3342938423
TwostageBad,0.358027935
TwostageBad,0.3461618423
TwostageBad,0.3499517441
TwostageBad,0.3538126945
TwostageBad,0.3380467892
TwostageBad,0.3435988426
TwostageBad,0.3434195518
TwostageBad,0.3334412575
TwostageBad,0.331897974
TwostageBad,0.3535468578
TwostageBad,0.3318612576
TwostageBad,0.3456315994
TwostageBad,0.3416500092
TwostageBad,0.3548929691
TwostageBad,0.3283500671
TwostageBad,0.3415961266
TwostageBad,0.3425686359
TwostageBad,0.3424890041
TwostageBad,0.3385639191
TwostageBad,0.3534097672
TwostageBad,0.3464226723
TwostageBad,0.3372881413
TwostageBad,0.3479502201
TwostageBad,0.3326420784
TwostageBad,0.3402049541
TwostageBad,0.3281342983
TwostageBad,0.3493559361
TwostageBad,0.3518359661
TwostageBad,0.348277092
TwostageBad,0.3393454552
TwostageBad,0.3644037247
TwostageBad,0.3358073235
TwostageBad,0.3524942398
TwostageBad,0.3455862999
TwostageBad,0.3470726013
TwostageBad,0.3524816036
TwostageBad,0.3373174667
TwostageBad,0.3534770012
TwostageBad,0.3386576176
TwostageBad,0.3350009918
TwostageBad,0.3459525108
TwostageBad,0.3671832085
TwostageBad,0.3484461308
TwostageBad,0.3681051731
TwostageBad,0.3413040638
TwostageBad,0.3404097557
TwostageBad,0.3364787102
TwostageBad,0.340729475
TwostageBad,0.3389687538
TwostageBad,0.3390088081
TwostageBad,0.3563017845
TwostageBad,0.3341083527
TwostageBad,0.355506897
TwostageBad,0.339076519
TwostageBad,0.345293045
TwostageBad,0.3594815731
TwostageBad,0.3416175842
TwostageBad,0.3463704586
TwostageBad,0.3535583019
TwostageBad,0.3499846458
TwostageBad,0.3412656784
TwostageBad,0.3443071842
TwostageBad,0.336853981
TwostageBad,0.3477137089
TwostageBad,0.3456156254
TwostageBad,0.3403222561
TwostageBad,0.3366956711
TwostageBad,0.3474195004
TwostageBad,0.3504917622
TwostageBad,0.3319664001
TwostageBad,0.338211298
TwostageBad,0.3539698124
TwostageBad,0.3335614204
TwostageBad,0.3429737091
TwostageBad,0.3468694687
TwostageBad,0.3258914948
TwostageBad,0.3517420292
TwostageBad,0.3499131203
TwostageBad,0.3574163914
TwostageBad,0.34629035
TwostageBad,0.3641238213
TwostageBad,0.3535573483
TwostageBad,0.3498077393
TwostageBad,0.3400800228
TwostageBad,0.3712084293
TwostageBad,0.359344244
TwostageBad,0.3405706882
TwostageBad,0.3393883705
TwostageBad,0.3330521584
TwostageBad,0.3253130913
TwostageBad,0.3488600254
TwostageBad,0.3498971462
TwostageBad,0.3208601475
TwostageBad,0.3366115093
TwostageBad,0.3383440971
TwostageBad,0.3446857929
TwostageBad,0.3543567657
TwostageBad,0.3377904892
TwostageBad,0.3336415291
TwostageBad,0.3623683453
TwostageBad,0.346268177
TwostageBad,0.3518970013
TwostageBad,0.3374431133
TwostageBad,0.3439457417
TwostageBad,0.341080904
TwostageBad,0.3335375786
TwostageBad,0.3558251858
TwostageBad,0.3408248425
TwostageBad,0.3418912888
TwostageBad,0.341599226
TwostageBad,0.3296873569
TwostageBad,0.3413562775
TwostageBad,0.3368179798
TwostageBad,0.3530330658
TwostageBad,0.3479266167
TwostageBad,0.3466365337
TwostageBad,0.334903717
TwostageBad,0.3361935616
TwostageBad,0.3693776131
TwostageBad,0.3535888195
TwostageBad,0.3411903381
TwostageBad,0.3491857052
TwostageBad,0.354683876
TwostageBad,0.3538734913
TwostageBad,0.3331785202
TwostageBad,0.3493537903
TwostageBad,0.340064764
TwostageBad,0.3273282051
TwostageBad,0.3386137486
TwostageBad,0.318205595
TwostageBad,0.3383359909
TwostageBad,0.352107048
TwostageBad,0.3498270512
TwostageBad,0.3797192574
TwostageBad,0.3415434361
TwostageBad,0.3529531956
TwostageBad,0.3584272861
TwostageBad,0.3380875587
TwostageBad,0.3459796906
TwostageBad,0.3501710892
TwostageBad,0.3316175938
TwostageBad,0.3526239395
TwostageBad,0.3565664291
TwostageBad,0.342019558
TwostageBad,0.3400292397
TwostageBad,0.339404583
TwostageBad,0.345492363
TwostageBad,0.3438093662
TwostageBad,0.3482534885
TwostageBad,0.3346786499
TwostageBad,0.3436696529
TwostageBad,0.3603401184
TwostageBad,0.3447389603
TwostageBad,0.3478956223
TwostageBad,0.3391888142
TwostageBad,0.3333454132
TwostageBad,0.3343033791
TwostageBad,0.3582980633
TwostageBad,0.338183403
TwostageBad,0.3539478779
TwostageBad,0.346596241
TwostageBad,0.3357429504
TwostageBad,0.3485188484
TwostageBad,0.3426158428
TwostageBad,0.3272240162
TwostageBad,0.3625457287
TwostageBad,0.346653223
TwostageBad,0.3461008072
TwostageBad,0.347165823
TwostageBad,0.3579142094
TwostageBad,0.3461384773
TwostageBad,0.3555243015
TwostageBad,0.3527851105
TwostageBad,0.3493978977
TwostageBad,0.3696167469
TwostageBad,0.3418858051
TwostageBad,0.3404450417
TwostageBad,0.3367011547
TwostageBad,0.338745594
TwostageBad,0.3403191566
TwostageBad,0.3567507267
TwostageBad,0.331184864
TwostageBad,0.3557136059
TwostageBad,0.3492026329
TwostageBad,0.3452148438
TwostageBad,0.3502271175
TwostageBad,0.3455646038
TwostageBad,0.3501939774
TwostageBad,0.3526113033
TwostageBad,0.347577095
TwostageBad,0.3533513546
TwostageBad,0.3364241123
TwostageBad,0.3498148918
TwostageBad,0.3296070099
TwostageBad,0.3389527798
TwostageBad,0.3288064003
TwostageBad,0.3728516102
TwostageBad,0.3440649509
TwostageBad,0.3576579094
TwostageBad,0.3656041622
TwostageBad,0.3509807587
TwostageBad,0.3545351028
TwostageBad,0.3594851494
TwostageBad,0.3557033539
TwostageBad,0.3588411808
TwostageBad,0.3803937435
TwostageBad,0.3495969772
TwostageBad,0.3394024372
TwostageBad,0.3445987701
TwostageBad,0.3646202087
TwostageBad,0.3460612297
TwostageBad,0.3613433838
TwostageBad,0.3494796753
TwostageBad,0.3522787094
TwostageBad,0.3487029076
TwostageBad,0.3529391289
TwostageBad,0.4032239914
TwostageBad,0.3531095982
TwostageBad,0.3556993008
TwostageBad,0.3768503666
TwostageBad,0.3673341274
TwostageBad,0.3633236885
TwostageBad,0.3624205589
TwostageBad,0.5093660355
TwostageBad,0.3617494106
TwostageBad,0.3554534912
TwostageBad,0.3650250435
TwostageBad,0.3612840176
TwostageBad,0.3567404747
TwostageBad,0.3873775005
TwostageBad,0.3566763401
TwostageBad,0.3539624214
TwostageBad,0.3731853962
TwostageBad,0.4968767166
TwostageBad,0.3702437878
TwostageBad,0.3801929951
TwostageBad,0.3689980507
TwostageBad,0.4223096371
TwostageBad,0.3381757736
TwostageBad,0.3805575371
TwostageBad,0.383238554
TwostageBad,0.3686029911
TwostageBad,0.4459671974
TwostageBad,0.3672187328
TwostageBad,0.3328716755
TwostageBad,0.3830626011
TwostageBad,0.3666405678
TwostageBad,0.3501081467
TwostageBad,0.4112172127
TwostageBad,0.3739862442
TwostageBad,0.6220276356
TwostageBad,0.3515677452
TwostageBad,0.3623259068
TwostageBad,0.3430223465
TwostageBad,0.4455020428
TwostageBad,0.4795377254
TwostageBad,0.376083374
TwostageBad,0.3801105022
TwostageBad,0.3667817116
TwostageBad,0.3835682869
TwostageBad,0.3672091961
TwostageBad,0.3301773071
TwostageBad,0.3514950275
TwostageBad,0.3272020817
TwostageBad,0.3287606239
TwostageBad,0.4080121517
TwostageBad,0.3644320965
TwostageBad,0.3885095119
TwostageBad,0.4660964012
TwostageBad,0.4301359653
TwostageBad,0.3238461018
TwostageBad,0.3375136852
TwostageBad,0.3459706306
TwostageBad,0.4263005257
TwostageBad,0.4233474731
TwostageBad,0.3707478046
TwostageBad,0.4042992592
TwostageBad,0.3233149052
TwostageBad,0.3418405056
TwostageBad,0.3505444527
TwostageBad,0.3387699127
TwostageBad,0.3748853207
TwostageBad,0.3471076488
TwostageBad,0.4411568642
TwostageBad,0.3654692173
TwostageBad,0.3631122112
TwostageBad,0.3636949062
TwostageBad,0.3451981544
TwostageBad,0.3325068951
TwostageBad,0.4193303585
TwostageBad,0.3568677902
TwostageBad,0.3988652229
TwostageBad,0.4573755264
TwostageBad,0.382297039
TwostageBad,0.4177136421
TwostageBad,0.3909552097
TwostageBad,0.4789533615
TwostageBad,0.3519499302
TwostageBad,0.3653724194
TwostageBad,0.4123399258
TwostageBad,0.3548202515
TwostageBad,0.3328216076
TwostageBad,0.3446507454
TwostageBad,0.3312065601
StackBad,0.3824026585
StackBad,0.3509192467
StackBad,0.3446033001
StackBad,0.3658723831
StackBad,0.3371639252
StackBad,0.3206355572
StackBad,0.5894024372
StackBad,0.3323256969
StackBad,0.3230235577
StackBad,0.3645961285
StackBad,0.3591768742
StackBad,0.3242821693
StackBad,0.3822710514
StackBad,0.3958466053
StackBad,0.3775401115
StackBad,0.4003896713
StackBad,0.4209594727
StackBad,0.3915154934
StackBad,0.398427248
StackBad,0.3953130245
StackBad,0.5793728828
StackBad,0.4174859524
StackBad,0.3838050365
StackBad,0.4144456387
StackBad,0.3920722008
StackBad,0.3636746407
StackBad,0.3526649475
StackBad,0.3476891518
StackBad,0.3295574188
StackBad,0.3253531456
StackBad,0.3316993713
StackBad,0.3189849854
StackBad,0.3333704472
StackBad,0.3377578259
StackBad,0.3321046829
StackBad,0.3293426037
StackBad,0.3342254162
StackBad,0.3411710262
StackBad,0.3338029385
StackBad,0.3359465599
StackBad,0.3310947418
StackBad,0.3668608665
StackBad,0.338773489
StackBad,0.5255794525
StackBad,0.3422961235
StackBad,0.3423612118
StackBad,0.3913516998
StackBad,0.3937466145
StackBad,0.4163548946
StackBad,0.3839848042
StackBad,0.3800094128
StackBad,0.4240267277
StackBad,0.3766767979
StackBad,0.4891397953
StackBad,0.3914687634
StackBad,0.4012613297
StackBad,0.41877985
StackBad,0.4034054279
StackBad,0.3731563091
StackBad,0.3933913708
StackBad,0.3949987888
StackBad,0.3767380714
StackBad,0.643535614
StackBad,0.3601236343
StackBad,0.3387515545
StackBad,0.3895838261
StackBad,0.341003418
StackBad,0.3875539303
StackBad,0.483496666
StackBad,0.3726055622
StackBad,0.6264374256
StackBad,0.3540196419
StackBad,0.3399615288
StackBad,0.3497326374
StackBad,0.366204977
StackBad,0.469325304
StackBad,0.3446397781
StackBad,0.3833200932
StackBad,0.3488080502
StackBad,0.412678957
StackBad,0.4372091293
StackBad,0.4425106049
StackBad,0.401665926
StackBad,0.458884716
StackBad,0.4806594849
StackBad,0.4344782829
StackBad,0.4058413506
StackBad,0.4831440449
StackBad,0.4209780693
StackBad,0.4088602066
StackBad,0.4654445648
StackBad,0.3712043762
StackBad,0.415520668
StackBad,0.4289987087
StackBad,0.4089543819
StackBad,0.4096727371
StackBad,0.4063839912
StackBad,0.320858717
StackBad,0.4216623306
StackBad,0.3265068531
StackBad,0.5781137943
StackBad,0.3247125149
StackBad,0.3424034119
StackBad,0.330696106
StackBad,0.3880243301
StackBad,0.3915097713
StackBad,0.3770911694
StackBad,0.3644211292
StackBad,0.3469252586
StackBad,0.3309490681
StackBad,0.3437027931
StackBad,0.414139986
StackBad,0.5535626411
StackBad,0.4092364311
StackBad,0.5467422009
StackBad,0.3473191261
StackBad,0.3569250107
StackBad,0.399982214
StackBad,0.3434267044
StackBad,0.3692982197
StackBad,0.3411779404
StackBad,0.3241870403
StackBad,0.3417994976
StackBad,0.3241231441
StackBad,0.4170715809
StackBad,0.4057292938
StackBad,0.3720610142
StackBad,0.4047100544
StackBad,0.4358336926
StackBad,0.5071322918
StackBad,0.3920605183
StackBad,0.3882441521
StackBad,0.4490559101
StackBad,0.3939306736
StackBad,0.3753359318
StackBad,0.4085650444
StackBad,0.3342571259
StackBad,0.4302117825
StackBad,0.3602421284
StackBad,0.4123361111
StackBad,0.3860678673
StackBad,0.5238485336
StackBad,0.4576323032
StackBad,0.4253103733
StackBad,0.4615232944
StackBad,0.3922381401
StackBad,0.4589812756
StackBad,0.4447071552
StackBad,0.4123768806
StackBad,0.4086279869
StackBad,0.4152166843
StackBad,0.439201355
StackBad,0.3907029629
StackBad,0.567868948
StackBad,0.3566832542
StackBad,0.4228110313
StackBad,0.4519877434
StackBad,0.3555364609
StackBad,0.3701102734
StackBad,0.4046933651
StackBad,0.4695928097
StackBad,0.4247608185
StackBad,0.375346899
StackBad,0.4236650467
StackBad,0.3555722237
StackBad,0.3289079666
StackBad,0.3827068806
StackBad,0.3360776901
StackBad,0.3867526054
StackBad,0.3391711712
StackBad,0.4719586372
StackBad,0.3385498524
StackBad,0.3485798836
StackBad,0.3226799965
StackBad,0.3299221992
StackBad,0.3568854332
StackBad,0.3628525734
StackBad,0.3379716873
StackBad,0.3322312832
StackBad,0.3355054855
StackBad,0.3721580505
StackBad,0.3627548218
StackBad,0.3349916935
StackBad,0.3788883686
StackBad,0.4131388664
StackBad,0.3771348
StackBad,0.424407959
StackBad,0.3759624958
StackBad,0.3529372215
StackBad,0.3633239269
StackBad,0.4016587734
StackBad,0.4809429646
StackBad,0.3615326881
StackBad,0.3534984589
StackBad,0.3368916512
StackBad,0.3810124397
StackBad,0.3963057995
StackBad,0.4063203335
StackBad,0.410279274
StackBad,0.3751375675
StackBad,0.3885579109
StackBad,0.3967220783
StackBad,0.3451623917
StackBad,0.3342776299
StackBad,0.3387608528
StackBad,0.3696622849
StackBad,0.4265880585
StackBad,0.3987038136
StackBad,0.4518494606
StackBad,0.4814445972
StackBad,0.4128792286
StackBad,0.3932352066
StackBad,0.4734628201
StackBad,0.3564174175
StackBad,0.3806140423
StackBad,0.3714416027
StackBad,0.3820605278
StackBad,0.3802850246
StackBad,0.4197392464
StackBad,0.4768185616
StackBad,0.4107606411
StackBad,0.4112110138
StackBad,0.4080448151
StackBad,0.3962144852
StackBad,0.3968002796
StackBad,0.389592886
StackBad,0.4057767391
StackBad,0.3836510181
StackBad,0.428031683
StackBad,0.3962011337
StackBad,0.3661489487
StackBad,0.3742847443
StackBad,0.351256609
StackBad,0.4330723286
StackBad,0.4476325512
StackBad,0.5066113472
StackBad,0.4071729183
StackBad,0.3860611916
StackBad,0.4008080959
StackBad,0.4257235527
StackBad,0.4076259136
StackBad,0.3769207001
StackBad,0.414342165
StackBad,0.399502039
StackBad,0.4285430908
StackBad,0.4444441795
StackBad,0.4329278469
StackBad,0.3898119926
StackBad,0.5854969025
StackBad,0.4614479542
StackBad,0.4104261398
StackBad,0.4630959034
StackBad,0.4475417137
StackBad,0.4058353901
StackBad,0.4862763882
StackBad,0.3939054012
StackBad,0.4311690331
StackBad,0.4492273331
StackBad,0.4996654987
StackBad,0.3968377113
StackBad,0.3976604939
StackBad,0.4257624149
StackBad,0.4402701855
StackBad,0.4525878429
StackBad,0.7516639233
StackBad,0.4120082855
StackBad,0.4747421741
StackBad,0.3830041885
StackBad,0.4397325516
StackBad,0.5318336487
StackBad,0.3646969795
StackBad,0.44647789
Wronglock1Bad,0.5054981709
Wronglock1Bad,0.3867373466
Wronglock1Bad,0.3792788982
Wronglock1Bad,0.4046490192
Wronglock1Bad,0.369995594
Wronglock1Bad,0.3840959072
Wronglock1Bad,0.3753888607
Wronglock1Bad,0.4351463318
Wronglock1Bad,0.3965108395
Wronglock1Bad,0.5164093971
Wronglock1Bad,0.3767359257
Wronglock1Bad,0.3957147598
Wronglock1Bad,0.429710865
Wronglock1Bad,0.3748223782
Wronglock1Bad,0.3791866302
Wronglock1Bad,0.3884334564
Wronglock1Bad,0.3714916706
Wronglock1Bad,0.3826460838
Wronglock1Bad,0.3755736351
Wronglock1Bad,0.3683364391
Wronglock1Bad,0.3805868626
Wronglock1Bad,0.3781981468
Wronglock1Bad,0.3838944435
Wronglock1Bad,0.3866138458
Wronglock1Bad,0.4123187065
Wronglock1Bad,0.4000840187
Wronglock1Bad,0.3681325912
Wronglock1Bad,0.3791725636
Wronglock1Bad,0.3903250694
Wronglock1Bad,0.3820314407
Wronglock1Bad,0.387665987
Wronglock1Bad,0.3726658821
Wronglock1Bad,0.3607602119
Wronglock1Bad,0.3672301769
Wronglock1Bad,0.3875997066
